legalization_status,drugs100K_u18,dui100K_u18,total100K_u18,totnodrg100K_u18,drugs100K_all,dui100K_all,total100K_all,totnodrg100K_all
1,25.651249999999997,2.4737500000000003,274.1975,248.54250000000002,292.17124999999993,362.71750000000003,3861.0499999999997,3568.8812500000004
2,27.860454545454548,1.5386363636363638,310.5936363636363,282.7336363636363,464.5359090909091,286.4704545454546,3692.600909090909,3228.0654545454545
3,43.187894736842104,2.882631578947368,370.198947368421,327.00894736842105,600.7563157894735,366.67947368421056,4463.424736842106,3862.666842105263
