@_STATE,State_x,pop_unde18,Population,Total_under18,drug_violations_under18,Total_allages,drug_violations_allages,per_und18_arrest,per_und18_drugarrest,per_arrest,per_drugarrest,State_y,Medical,Recreational,Prohibited
41,Oregon,873567.0,4190713.0,8618.0,1653.0,125230.0,13605.0,0.009865299000000001,0.0018922420000000001,0.029882743,0.003246464,Oregon,1998.0,2014.0,0.0
42,Pennsylvania,2648911.0,12807060.0,36034.0,3231.0,345822.0,61934.0,0.013603326,0.001219747,0.02700245,0.004835926,Pennsylvania,2016.0,0.0,0.0
44,Rhode Island,205213.0,1057315.0,2373.0,104.0,25996.0,2049.0,0.011563595,0.000506791,0.024586807000000002,0.0019379279999999998,Rhode Island,2006.0,0.0,0.0
45,South Carolina,1105945.0,5084127.0,10803.0,1957.0,152664.0,34105.0,0.009768117,0.0017695270000000001,0.030027573999999998,0.006708133000000001,South Carolina,0.0,0.0,1.0
46,South Dakota,217606.0,882235.0,4886.0,819.0,44268.0,8108.0,0.022453425,0.003763683,0.050177107,0.009190295,South Dakota,0.0,0.0,1.0
47,Tennessee,1506220.0,6770010.0,19692.0,2380.0,330989.0,47876.0,0.013073787,0.0015801139999999999,0.048890474,0.007071777,Tennessee,0.0,0.0,1.0
48,Texas,7398099.0,28701845.0,55458.0,9893.0,729902.0,139188.0,0.00749625,0.001337235,0.025430491,0.0048494440000000005,Texas,0.0,0.0,1.0
49,Utah,932462.0,3161105.0,12307.0,2258.0,104886.0,19562.0,0.013198393000000001,0.002421546,0.03318017,0.0061883419999999995,Utah,2018.0,0.0,0.0
50,Vermont,115973.0,626299.0,702.0,38.0,14334.0,902.0,0.0060531330000000005,0.000327662,0.022886832000000003,0.0014402070000000002,Vermont,2004.0,2018.0,0.0
51,Virginia,1869792.0,8517685.0,15864.0,2132.0,268094.0,45409.0,0.008484366,0.001140234,0.031474984,0.005331143000000001,Virginia,0.0,0.0,1.0
53,Washington,1663285.0,7535591.0,10996.0,1053.0,171466.0,11283.0,0.006611014,0.000633085,0.022754154,0.001497295,Washington,1998.0,2012.0,0.0
54,West Virginia,364160.0,1805832.0,496.0,67.0,29202.0,6044.0,0.001362039,0.000183985,0.016170939,0.003346934,West Virginia,2017.0,0.0,0.0
55,Wisconsin,1276103.0,5813568.0,35109.0,3150.0,245015.0,31066.0,0.027512669,0.002468453,0.042145374000000006,0.005343706,Wisconsin,0.0,0.0,1.0
56,Wyoming,134775.0,577737.0,3191.0,580.0,28437.0,4895.0,0.023676497999999997,0.004303469,0.049221359000000006,0.008472713,Wyoming,0.0,0.0,1.0
66,Guam,,3195153.0,,,,,,,,,Guam,0.0,0.0,0.0
72,Puerto Rico,594011.0,,,,,,,,,,Puerto Rico,0.0,0.0,0.0
